RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1,192,2023-02-01 00:59:07.7193859,2004,Info,Microsoft-Windows-Windows Firewall With Advanced Security,Microsoft-Windows-Windows Firewall With Advanced Security/Firewall,2836,4100,DESKTOP-887GK2L,0,S-1-5-19,A rule has been added to the Windows Defender Firewall exception list,,"*: ",: @{Windows.CBSPreview_10.0.19041.1023_neutral_neutral_cw5n1h2txyewy?ms-resource://Windows.CBSPreview/resources/DisplayName},,Direction: Outbound,Action: Block,Protocol: All,,,False,C:\Users\turan\Desktop\defense-work-evtx-files\Windows Firewall-Firewall.evtx,0x8000020000000000,0,"{""EventData"":{""Data"":[{""@Name"":""RuleId"",""#text"":""{6B516114-A353-4DD8-8FC1-299BFCC1297C}""},{""@Name"":""RuleName"",""#text"":""@{Windows.CBSPreview_10.0.19041.1023_neutral_neutral_cw5n1h2txyewy?ms-resource://Windows.CBSPreview/resources/DisplayName}""},{""@Name"":""Origin"",""#text"":""1""},{""@Name"":""ApplicationPath""},{""@Name"":""ServiceName""},{""@Name"":""Direction"",""#text"":""2""},{""@Name"":""Protocol"",""#text"":""256""},{""@Name"":""LocalPorts""},{""@Name"":""RemotePorts""},{""@Name"":""Action"",""#text"":""2""},{""@Name"":""Profiles"",""#text"":""2147483647""},{""@Name"":""LocalAddresses"",""#text"":""*""},{""@Name"":""RemoteAddresses"",""#text"":""*""},{""@Name"":""RemoteMachineAuthorizationList""},{""@Name"":""RemoteUserAuthorizationList""},{""@Name"":""EmbeddedContext"",""#text"":""@{Windows.CBSPreview_10.0.19041.1023_neutral_neutral_cw5n1h2txyewy?ms-resource://Windows.CBSPreview/resources/DisplayName}""},{""@Name"":""Flags"",""#text"":""1""},{""@Name"":""Active"",""#text"":""1""},{""@Name"":""EdgeTraversal"",""#text"":""0""},{""@Name"":""LooseSourceMapped"",""#text"":""0""},{""@Name"":""SecurityOptions"",""#text"":""0""},{""@Name"":""ModifyingUser"",""#text"":""S-1-5-80-3088073201-1464728630-1879813800-1107566885-823218052""},{""@Name"":""ModifyingApplication"",""#text"":""C:\\Windows\\System32\\svchost.exe""},{""@Name"":""SchemaVersion"",""#text"":""542""},{""@Name"":""RuleStatus"",""#text"":""65536""},{""@Name"":""LocalOnlyMapped"",""#text"":""0""}]}}"
2,193,2023-02-01 00:59:07.8587851,2004,Info,Microsoft-Windows-Windows Firewall With Advanced Security,Microsoft-Windows-Windows Firewall With Advanced Security/Firewall,2836,4100,DESKTOP-887GK2L,0,S-1-5-19,A rule has been added to the Windows Defender Firewall exception list,,"*: ",: @{Microsoft.AsyncTextService_10.0.19041.1023_neutral__8wekyb3d8bbwe?ms-resource://Microsoft.AsyncTextService/Resources/AppDisplayName},,Direction: Inbound,Action: Block,Protocol: All,,,False,C:\Users\turan\Desktop\defense-work-evtx-files\Windows Firewall-Firewall.evtx,0x8000020000000000,0,"{""EventData"":{""Data"":[{""@Name"":""RuleId"",""#text"":""{77578B60-5F6A-47EA-9828-061DF3DD1B2C}""},{""@Name"":""RuleName"",""#text"":""@{Microsoft.AsyncTextService_10.0.19041.1023_neutral__8wekyb3d8bbwe?ms-resource://Microsoft.AsyncTextService/Resources/AppDisplayName}""},{""@Name"":""Origin"",""#text"":""1""},{""@Name"":""ApplicationPath""},{""@Name"":""ServiceName""},{""@Name"":""Direction"",""#text"":""1""},{""@Name"":""Protocol"",""#text"":""256""},{""@Name"":""LocalPorts""},{""@Name"":""RemotePorts""},{""@Name"":""Action"",""#text"":""2""},{""@Name"":""Profiles"",""#text"":""2147483647""},{""@Name"":""LocalAddresses"",""#text"":""*""},{""@Name"":""RemoteAddresses"",""#text"":""*""},{""@Name"":""RemoteMachineAuthorizationList""},{""@Name"":""RemoteUserAuthorizationList""},{""@Name"":""EmbeddedContext"",""#text"":""@{Microsoft.AsyncTextService_10.0.19041.1023_neutral__8wekyb3d8bbwe?ms-resource://Microsoft.AsyncTextService/Resources/AppDisplayName}""},{""@Name"":""Flags"",""#text"":""1""},{""@Name"":""Active"",""#text"":""1""},{""@Name"":""EdgeTraversal"",""#text"":""0""},{""@Name"":""LooseSourceMapped"",""#text"":""0""},{""@Name"":""SecurityOptions"",""#text"":""0""},{""@Name"":""ModifyingUser"",""#text"":""S-1-5-80-3088073201-1464728630-1879813800-1107566885-823218052""},{""@Name"":""ModifyingApplication"",""#text"":""C:\\Windows\\System32\\svchost.exe""},{""@Name"":""SchemaVersion"",""#text"":""542""},{""@Name"":""RuleStatus"",""#text"":""65536""},{""@Name"":""LocalOnlyMapped"",""#text"":""0""}]}}"
3,194,2023-02-01 00:59:07.8595399,2004,Info,Microsoft-Windows-Windows Firewall With Advanced Security,Microsoft-Windows-Windows Firewall With Advanced Security/Firewall,2836,4100,DESKTOP-887GK2L,0,S-1-5-19,A rule has been added to the Windows Defender Firewall exception list,,"*: ",: @{Microsoft.AsyncTextService_10.0.19041.1023_neutral__8wekyb3d8bbwe?ms-resource://Microsoft.AsyncTextService/Resources/AppDisplayName},,Direction: Outbound,Action: Block,Protocol: All,,,False,C:\Users\turan\Desktop\defense-work-evtx-files\Windows Firewall-Firewall.evtx,0x8000020000000000,0,"{""EventData"":{""Data"":[{""@Name"":""RuleId"",""#text"":""{6781FE61-4628-43D0-BE8B-64E80B46C2E7}""},{""@Name"":""RuleName"",""#text"":""@{Microsoft.AsyncTextService_10.0.19041.1023_neutral__8wekyb3d8bbwe?ms-resource://Microsoft.AsyncTextService/Resources/AppDisplayName}""},{""@Name"":""Origin"",""#text"":""1""},{""@Name"":""ApplicationPath""},{""@Name"":""ServiceName""},{""@Name"":""Direction"",""#text"":""2""},{""@Name"":""Protocol"",""#text"":""256""},{""@Name"":""LocalPorts""},{""@Name"":""RemotePorts""},{""@Name"":""Action"",""#text"":""2""},{""@Name"":""Profiles"",""#text"":""2147483647""},{""@Name"":""LocalAddresses"",""#text"":""*""},{""@Name"":""RemoteAddresses"",""#text"":""*""},{""@Name"":""RemoteMachineAuthorizationList""},{""@Name"":""RemoteUserAuthorizationList""},{""@Name"":""EmbeddedContext"",""#text"":""@{Microsoft.AsyncTextService_10.0.19041.1023_neutral__8wekyb3d8bbwe?ms-resource://Microsoft.AsyncTextService/Resources/AppDisplayName}""},{""@Name"":""Flags"",""#text"":""1""},{""@Name"":""Active"",""#text"":""1""},{""@Name"":""EdgeTraversal"",""#text"":""0""},{""@Name"":""LooseSourceMapped"",""#text"":""0""},{""@Name"":""SecurityOptions"",""#text"":""0""},{""@Name"":""ModifyingUser"",""#text"":""S-1-5-80-3088073201-1464728630-1879813800-1107566885-823218052""},{""@Name"":""ModifyingApplication"",""#text"":""C:\\Windows\\System32\\svchost.exe""},{""@Name"":""SchemaVersion"",""#text"":""542""},{""@Name"":""RuleStatus"",""#text"":""65536""},{""@Name"":""LocalOnlyMapped"",""#text"":""0""}]}}"
4,195,2023-02-01 00:59:07.9787759,2004,Info,Microsoft-Windows-Windows Firewall With Advanced Security,Microsoft-Windows-Windows Firewall With Advanced Security/Firewall,2836,4100,DESKTOP-887GK2L,0,S-1-5-19,A rule has been added to the Windows Defender Firewall exception list,,"*: ",: @{Microsoft.CredDialogHost_10.0.19041.1023_neutral__cw5n1h2txyewy?ms-resource://Microsoft.CredDialogHost/Resources/AppDisplayName},,Direction: Inbound,Action: Block,Protocol: All,,,False,C:\Users\turan\Desktop\defense-work-evtx-files\Windows Firewall-Firewall.evtx,0x8000020000000000,0,"{""EventData"":{""Data"":[{""@Name"":""RuleId"",""#text"":""{9BB33C9F-3507-4FE0-A068-AFB533675C99}""},{""@Name"":""RuleName"",""#text"":""@{Microsoft.CredDialogHost_10.0.19041.1023_neutral__cw5n1h2txyewy?ms-resource://Microsoft.CredDialogHost/Resources/AppDisplayName}""},{""@Name"":""Origin"",""#text"":""1""},{""@Name"":""ApplicationPath""},{""@Name"":""ServiceName""},{""@Name"":""Direction"",""#text"":""1""},{""@Name"":""Protocol"",""#text"":""256""},{""@Name"":""LocalPorts""},{""@Name"":""RemotePorts""},{""@Name"":""Action"",""#text"":""2""},{""@Name"":""Profiles"",""#text"":""2147483647""},{""@Name"":""LocalAddresses"",""#text"":""*""},{""@Name"":""RemoteAddresses"",""#text"":""*""},{""@Name"":""RemoteMachineAuthorizationList""},{""@Name"":""RemoteUserAuthorizationList""},{""@Name"":""EmbeddedContext"",""#text"":""@{Microsoft.CredDialogHost_10.0.19041.1023_neutral__cw5n1h2txyewy?ms-resource://Microsoft.CredDialogHost/Resources/AppDisplayName}""},{""@Name"":""Flags"",""#text"":""1""},{""@Name"":""Active"",""#text"":""1""},{""@Name"":""EdgeTraversal"",""#text"":""0""},{""@Name"":""LooseSourceMapped"",""#text"":""0""},{""@Name"":""SecurityOptions"",""#text"":""0""},{""@Name"":""ModifyingUser"",""#text"":""S-1-5-80-3088073201-1464728630-1879813800-1107566885-823218052""},{""@Name"":""ModifyingApplication"",""#text"":""C:\\Windows\\System32\\svchost.exe""},{""@Name"":""SchemaVersion"",""#text"":""542""},{""@Name"":""RuleStatus"",""#text"":""65536""},{""@Name"":""LocalOnlyMapped"",""#text"":""0""}]}}"
5,196,2023-02-01 00:59:07.9795066,2004,Info,Microsoft-Windows-Windows Firewall With Advanced Security,Microsoft-Windows-Windows Firewall With Advanced Security/Firewall,2836,4100,DESKTOP-887GK2L,0,S-1-5-19,A rule has been added to the Windows Defender Firewall exception list,,"*: ",: @{Microsoft.CredDialogHost_10.0.19041.1023_neutral__cw5n1h2txyewy?ms-resource://Microsoft.CredDialogHost/Resources/AppDisplayName},,Direction: Outbound,Action: Block,Protocol: All,,,False,C:\Users\turan\Desktop\defense-work-evtx-files\Windows Firewall-Firewall.evtx,0x8000020000000000,0,"{""EventData"":{""Data"":[{""@Name"":""RuleId"",""#text"":""{3D0BEA40-8A3D-4FC1-98F0-8FB7916E74E9}""},{""@Name"":""RuleName"",""#text"":""@{Microsoft.CredDialogHost_10.0.19041.1023_neutral__cw5n1h2txyewy?ms-resource://Microsoft.CredDialogHost/Resources/AppDisplayName}""},{""@Name"":""Origin"",""#text"":""1""},{""@Name"":""ApplicationPath""},{""@Name"":""ServiceName""},{""@Name"":""Direction"",""#text"":""2""},{""@Name"":""Protocol"",""#text"":""256""},{""@Name"":""LocalPorts""},{""@Name"":""RemotePorts""},{""@Name"":""Action"",""#text"":""2""},{""@Name"":""Profiles"",""#text"":""2147483647""},{""@Name"":""LocalAddresses"",""#text"":""*""},{""@Name"":""RemoteAddresses"",""#text"":""*""},{""@Name"":""RemoteMachineAuthorizationList""},{""@Name"":""RemoteUserAuthorizationList""},{""@Name"":""EmbeddedContext"",""#text"":""@{Microsoft.CredDialogHost_10.0.19041.1023_neutral__cw5n1h2txyewy?ms-resource://Microsoft.CredDialogHost/Resources/AppDisplayName}""},{""@Name"":""Flags"",""#text"":""1""},{""@Name"":""Active"",""#text"":""1""},{""@Name"":""EdgeTraversal"",""#text"":""0""},{""@Name"":""LooseSourceMapped"",""#text"":""0""},{""@Name"":""SecurityOptions"",""#text"":""0""},{""@Name"":""ModifyingUser"",""#text"":""S-1-5-80-3088073201-1464728630-1879813800-1107566885-823218052""},{""@Name"":""ModifyingApplication"",""#text"":""C:\\Windows\\System32\\svchost.exe""},{""@Name"":""SchemaVersion"",""#text"":""542""},{""@Name"":""RuleStatus"",""#text"":""65536""},{""@Name"":""LocalOnlyMapped"",""#text"":""0""}]}}"
6,197,2023-02-01 00:59:08.1195871,2004,Info,Microsoft-Windows-Windows Firewall With Advanced Security,Microsoft-Windows-Windows Firewall With Advanced Security/Firewall,2836,4100,DESKTOP-887GK2L,0,S-1-5-19,A rule has been added to the Windows Defender Firewall exception list,,"*: ",: @{Microsoft.ECApp_10.0.19041.1023_neutral__8wekyb3d8bbwe?ms-resource://Microsoft.ECApp/Resources/AppDisplayName},,Direction: Inbound,Action: Block,Protocol: All,,,False,C:\Users\turan\Desktop\defense-work-evtx-files\Windows Firewall-Firewall.evtx,0x8000020000000000,0,"{""EventData"":{""Data"":[{""@Name"":""RuleId"",""#text"":""{3351E8DD-BA5A-4745-A285-5673F34A1E5D}""},{""@Name"":""RuleName"",""#text"":""@{Microsoft.ECApp_10.0.19041.1023_neutral__8wekyb3d8bbwe?ms-resource://Microsoft.ECApp/Resources/AppDisplayName}""},{""@Name"":""Origin"",""#text"":""1""},{""@Name"":""ApplicationPath""},{""@Name"":""ServiceName""},{""@Name"":""Direction"",""#text"":""1""},{""@Name"":""Protocol"",""#text"":""256""},{""@Name"":""LocalPorts""},{""@Name"":""RemotePorts""},{""@Name"":""Action"",""#text"":""2""},{""@Name"":""Profiles"",""#text"":""2147483647""},{""@Name"":""LocalAddresses"",""#text"":""*""},{""@Name"":""RemoteAddresses"",""#text"":""*""},{""@Name"":""RemoteMachineAuthorizationList""},{""@Name"":""RemoteUserAuthorizationList""},{""@Name"":""EmbeddedContext"",""#text"":""@{Microsoft.ECApp_10.0.19041.1023_neutral__8wekyb3d8bbwe?ms-resource://Microsoft.ECApp/Resources/AppDisplayName}""},{""@Name"":""Flags"",""#text"":""1""},{""@Name"":""Active"",""#text"":""1""},{""@Name"":""EdgeTraversal"",""#text"":""0""},{""@Name"":""LooseSourceMapped"",""#text"":""0""},{""@Name"":""SecurityOptions"",""#text"":""0""},{""@Name"":""ModifyingUser"",""#text"":""S-1-5-80-3088073201-1464728630-1879813800-1107566885-823218052""},{""@Name"":""ModifyingApplication"",""#text"":""C:\\Windows\\System32\\svchost.exe""},{""@Name"":""SchemaVersion"",""#text"":""542""},{""@Name"":""RuleStatus"",""#text"":""65536""},{""@Name"":""LocalOnlyMapped"",""#text"":""0""}]}}"
7,198,2023-02-01 00:59:08.1203528,2004,Info,Microsoft-Windows-Windows Firewall With Advanced Security,Microsoft-Windows-Windows Firewall With Advanced Security/Firewall,2836,4100,DESKTOP-887GK2L,0,S-1-5-19,A rule has been added to the Windows Defender Firewall exception list,,"*: ",: @{Microsoft.ECApp_10.0.19041.1023_neutral__8wekyb3d8bbwe?ms-resource://Microsoft.ECApp/Resources/AppDisplayName},,Direction: Outbound,Action: Block,Protocol: All,,,False,C:\Users\turan\Desktop\defense-work-evtx-files\Windows Firewall-Firewall.evtx,0x8000020000000000,0,"{""EventData"":{""Data"":[{""@Name"":""RuleId"",""#text"":""{FF839291-5689-4FF6-A970-803A7F817ABC}""},{""@Name"":""RuleName"",""#text"":""@{Microsoft.ECApp_10.0.19041.1023_neutral__8wekyb3d8bbwe?ms-resource://Microsoft.ECApp/Resources/AppDisplayName}""},{""@Name"":""Origin"",""#text"":""1""},{""@Name"":""ApplicationPath""},{""@Name"":""ServiceName""},{""@Name"":""Direction"",""#text"":""2""},{""@Name"":""Protocol"",""#text"":""256""},{""@Name"":""LocalPorts""},{""@Name"":""RemotePorts""},{""@Name"":""Action"",""#text"":""2""},{""@Name"":""Profiles"",""#text"":""2147483647""},{""@Name"":""LocalAddresses"",""#text"":""*""},{""@Name"":""RemoteAddresses"",""#text"":""*""},{""@Name"":""RemoteMachineAuthorizationList""},{""@Name"":""RemoteUserAuthorizationList""},{""@Name"":""EmbeddedContext"",""#text"":""@{Microsoft.ECApp_10.0.19041.1023_neutral__8wekyb3d8bbwe?ms-resource://Microsoft.ECApp/Resources/AppDisplayName}""},{""@Name"":""Flags"",""#text"":""1""},{""@Name"":""Active"",""#text"":""1""},{""@Name"":""EdgeTraversal"",""#text"":""0""},{""@Name"":""LooseSourceMapped"",""#text"":""0""},{""@Name"":""SecurityOptions"",""#text"":""0""},{""@Name"":""ModifyingUser"",""#text"":""S-1-5-80-3088073201-1464728630-1879813800-1107566885-823218052""},{""@Name"":""ModifyingApplication"",""#text"":""C:\\Windows\\System32\\svchost.exe""},{""@Name"":""SchemaVersion"",""#text"":""542""},{""@Name"":""RuleStatus"",""#text"":""65536""},{""@Name"":""LocalOnlyMapped"",""#text"":""0""}]}}"
8,199,2023-02-01 00:59:08.2661099,2004,Info,Microsoft-Windows-Windows Firewall With Advanced Security,Microsoft-Windows-Windows Firewall With Advanced Security/Firewall,2836,4100,DESKTOP-887GK2L,0,S-1-5-19,A rule has been added to the Windows Defender Firewall exception list,,"*: ",: @{Microsoft.LockApp_10.0.19041.1023_neutral__cw5n1h2txyewy?ms-resource://Microsoft.LockApp/resources/AppDisplayName},,Direction: Inbound,Action: Block,Protocol: All,,,False,C:\Users\turan\Desktop\defense-work-evtx-files\Windows Firewall-Firewall.evtx,0x8000020000000000,0,"{""EventData"":{""Data"":[{""@Name"":""RuleId"",""#text"":""{BFEEC95D-424A-40D7-9812-4CE7D05ECF7C}""},{""@Name"":""RuleName"",""#text"":""@{Microsoft.LockApp_10.0.19041.1023_neutral__cw5n1h2txyewy?ms-resource://Microsoft.LockApp/resources/AppDisplayName}""},{""@Name"":""Origin"",""#text"":""1""},{""@Name"":""ApplicationPath""},{""@Name"":""ServiceName""},{""@Name"":""Direction"",""#text"":""1""},{""@Name"":""Protocol"",""#text"":""256""},{""@Name"":""LocalPorts""},{""@Name"":""RemotePorts""},{""@Name"":""Action"",""#text"":""2""},{""@Name"":""Profiles"",""#text"":""2147483647""},{""@Name"":""LocalAddresses"",""#text"":""*""},{""@Name"":""RemoteAddresses"",""#text"":""*""},{""@Name"":""RemoteMachineAuthorizationList""},{""@Name"":""RemoteUserAuthorizationList""},{""@Name"":""EmbeddedContext"",""#text"":""@{Microsoft.LockApp_10.0.19041.1023_neutral__cw5n1h2txyewy?ms-resource://Microsoft.LockApp/resources/AppDisplayName}""},{""@Name"":""Flags"",""#text"":""1""},{""@Name"":""Active"",""#text"":""1""},{""@Name"":""EdgeTraversal"",""#text"":""0""},{""@Name"":""LooseSourceMapped"",""#text"":""0""},{""@Name"":""SecurityOptions"",""#text"":""0""},{""@Name"":""ModifyingUser"",""#text"":""S-1-5-80-3088073201-1464728630-1879813800-1107566885-823218052""},{""@Name"":""ModifyingApplication"",""#text"":""C:\\Windows\\System32\\svchost.exe""},{""@Name"":""SchemaVersion"",""#text"":""542""},{""@Name"":""RuleStatus"",""#text"":""65536""},{""@Name"":""LocalOnlyMapped"",""#text"":""0""}]}}"
9,200,2023-02-01 00:59:08.2668388,2004,Info,Microsoft-Windows-Windows Firewall With Advanced Security,Microsoft-Windows-Windows Firewall With Advanced Security/Firewall,2836,4100,DESKTOP-887GK2L,0,S-1-5-19,A rule has been added to the Windows Defender Firewall exception list,,"*: ",: @{Microsoft.LockApp_10.0.19041.1023_neutral__cw5n1h2txyewy?ms-resource://Microsoft.LockApp/resources/AppDisplayName},,Direction: Outbound,Action: Block,Protocol: All,,,False,C:\Users\turan\Desktop\defense-work-evtx-files\Windows Firewall-Firewall.evtx,0x8000020000000000,0,"{""EventData"":{""Data"":[{""@Name"":""RuleId"",""#text"":""{9A690E9C-00B4-4F8D-9B42-03F644FD04BA}""},{""@Name"":""RuleName"",""#text"":""@{Microsoft.LockApp_10.0.19041.1023_neutral__cw5n1h2txyewy?ms-resource://Microsoft.LockApp/resources/AppDisplayName}""},{""@Name"":""Origin"",""#text"":""1""},{""@Name"":""ApplicationPath""},{""@Name"":""ServiceName""},{""@Name"":""Direction"",""#text"":""2""},{""@Name"":""Protocol"",""#text"":""256""},{""@Name"":""LocalPorts""},{""@Name"":""RemotePorts""},{""@Name"":""Action"",""#text"":""2""},{""@Name"":""Profiles"",""#text"":""2147483647""},{""@Name"":""LocalAddresses"",""#text"":""*""},{""@Name"":""RemoteAddresses"",""#text"":""*""},{""@Name"":""RemoteMachineAuthorizationList""},{""@Name"":""RemoteUserAuthorizationList""},{""@Name"":""EmbeddedContext"",""#text"":""@{Microsoft.LockApp_10.0.19041.1023_neutral__cw5n1h2txyewy?ms-resource://Microsoft.LockApp/resources/AppDisplayName}""},{""@Name"":""Flags"",""#text"":""1""},{""@Name"":""Active"",""#text"":""1""},{""@Name"":""EdgeTraversal"",""#text"":""0""},{""@Name"":""LooseSourceMapped"",""#text"":""0""},{""@Name"":""SecurityOptions"",""#text"":""0""},{""@Name"":""ModifyingUser"",""#text"":""S-1-5-80-3088073201-1464728630-1879813800-1107566885-823218052""},{""@Name"":""ModifyingApplication"",""#text"":""C:\\Windows\\System32\\svchost.exe""},{""@Name"":""SchemaVersion"",""#text"":""542""},{""@Name"":""RuleStatus"",""#text"":""65536""},{""@Name"":""LocalOnlyMapped"",""#text"":""0""}]}}"
10,201,2023-02-01 00:59:08.2675695,2004,Info,Microsoft-Windows-Windows Firewall With Advanced Security,Microsoft-Windows-Windows Firewall With Advanced Security/Firewall,2836,4100,DESKTOP-887GK2L,0,S-1-5-19,A rule has been added to the Windows Defender Firewall exception list,,"*: ",: @{Microsoft.LockApp_10.0.19041.1023_neutral__cw5n1h2txyewy?ms-resource://Microsoft.LockApp/resources/AppDisplayName},,Direction: Outbound,Action: Allow,Protocol: All,,,False,C:\Users\turan\Desktop\defense-work-evtx-files\Windows Firewall-Firewall.evtx,0x8000020000000000,0,"{""EventData"":{""Data"":[{""@Name"":""RuleId"",""#text"":""{A39EE20B-3AF1-4E75-894D-EC1DBB3718A6}""},{""@Name"":""RuleName"",""#text"":""@{Microsoft.LockApp_10.0.19041.1023_neutral__cw5n1h2txyewy?ms-resource://Microsoft.LockApp/resources/AppDisplayName}""},{""@Name"":""Origin"",""#text"":""1""},{""@Name"":""ApplicationPath""},{""@Name"":""ServiceName""},{""@Name"":""Direction"",""#text"":""2""},{""@Name"":""Protocol"",""#text"":""256""},{""@Name"":""LocalPorts""},{""@Name"":""RemotePorts""},{""@Name"":""Action"",""#text"":""3""},{""@Name"":""Profiles"",""#text"":""7""},{""@Name"":""LocalAddresses"",""#text"":""*""},{""@Name"":""RemoteAddresses"",""#text"":""*""},{""@Name"":""RemoteMachineAuthorizationList""},{""@Name"":""RemoteUserAuthorizationList""},{""@Name"":""EmbeddedContext"",""#text"":""@{Microsoft.LockApp_10.0.19041.1023_neutral__cw5n1h2txyewy?ms-resource://Microsoft.LockApp/resources/AppDisplayName}""},{""@Name"":""Flags"",""#text"":""1""},{""@Name"":""Active"",""#text"":""1""},{""@Name"":""EdgeTraversal"",""#text"":""0""},{""@Name"":""LooseSourceMapped"",""#text"":""0""},{""@Name"":""SecurityOptions"",""#text"":""0""},{""@Name"":""ModifyingUser"",""#text"":""S-1-5-80-3088073201-1464728630-1879813800-1107566885-823218052""},{""@Name"":""ModifyingApplication"",""#text"":""C:\\Windows\\System32\\svchost.exe""},{""@Name"":""SchemaVersion"",""#text"":""542""},{""@Name"":""RuleStatus"",""#text"":""65536""},{""@Name"":""LocalOnlyMapped"",""#text"":""0""}]}}"
11,202,2023-02-01 00:59:08.2685013,2004,Info,Microsoft-Windows-Windows Firewall With Advanced Security,Microsoft-Windows-Windows Firewall With Advanced Security/Firewall,2836,4100,DESKTOP-887GK2L,0,S-1-5-19,A rule has been added to the Windows Defender Firewall exception list,,"*: ",: @{Microsoft.LockApp_10.0.19041.1023_neutral__cw5n1h2txyewy?ms-resource://Microsoft.LockApp/resources/AppDisplayName},,Direction: Outbound,Action: Allow,Protocol: All,,,False,C:\Users\turan\Desktop\defense-work-evtx-files\Windows Firewall-Firewall.evtx,0x8000020000000000,0,"{""EventData"":{""Data"":[{""@Name"":""RuleId"",""#text"":""{FEBBEE97-4534-47CB-9A90-B021B4CCA47B}""},{""@Name"":""RuleName"",""#text"":""@{Microsoft.LockApp_10.0.19041.1023_neutral__cw5n1h2txyewy?ms-resource://Microsoft.LockApp/resources/AppDisplayName}""},{""@Name"":""Origin"",""#text"":""1""},{""@Name"":""ApplicationPath""},{""@Name"":""ServiceName""},{""@Name"":""Direction"",""#text"":""2""},{""@Name"":""Protocol"",""#text"":""256""},{""@Name"":""LocalPorts""},{""@Name"":""RemotePorts""},{""@Name"":""Action"",""#text"":""3""},{""@Name"":""Profiles"",""#text"":""7""},{""@Name"":""LocalAddresses"",""#text"":""*""},{""@Name"":""RemoteAddresses"",""#text"":""*""},{""@Name"":""RemoteMachineAuthorizationList""},{""@Name"":""RemoteUserAuthorizationList""},{""@Name"":""EmbeddedContext"",""#text"":""@{Microsoft.LockApp_10.0.19041.1023_neutral__cw5n1h2txyewy?ms-resource://Microsoft.LockApp/resources/AppDisplayName}""},{""@Name"":""Flags"",""#text"":""1""},{""@Name"":""Active"",""#text"":""1""},{""@Name"":""EdgeTraversal"",""#text"":""0""},{""@Name"":""LooseSourceMapped"",""#text"":""0""},{""@Name"":""SecurityOptions"",""#text"":""0""},{""@Name"":""ModifyingUser"",""#text"":""S-1-5-80-3088073201-1464728630-1879813800-1107566885-823218052""},{""@Name"":""ModifyingApplication"",""#text"":""C:\\Windows\\System32\\svchost.exe""},{""@Name"":""SchemaVersion"",""#text"":""542""},{""@Name"":""RuleStatus"",""#text"":""65536""},{""@Name"":""LocalOnlyMapped"",""#text"":""0""}]}}"
12,203,2023-02-01 00:59:08.4252321,2004,Info,Microsoft-Windows-Windows Firewall With Advanced Security,Microsoft-Windows-Windows Firewall With Advanced Security/Firewall,2836,4100,DESKTOP-887GK2L,0,S-1-5-19,A rule has been added to the Windows Defender Firewall exception list,,"*: ",: @{Microsoft.MicrosoftEdgeDevToolsClient_1000.19041.1023.0_neutral_neutral_8wekyb3d8bbwe?ms-resource://Microsoft.MicrosoftEdgeDevToolsClient/resources/DisplayName},,Direction: Inbound,Action: Block,Protocol: All,,,False,C:\Users\turan\Desktop\defense-work-evtx-files\Windows Firewall-Firewall.evtx,0x8000020000000000,0,"{""EventData"":{""Data"":[{""@Name"":""RuleId"",""#text"":""{C05BF13B-A5A0-4AE9-A7F4-190EB965ADA8}""},{""@Name"":""RuleName"",""#text"":""@{Microsoft.MicrosoftEdgeDevToolsClient_1000.19041.1023.0_neutral_neutral_8wekyb3d8bbwe?ms-resource://Microsoft.MicrosoftEdgeDevToolsClient/resources/DisplayName}""},{""@Name"":""Origin"",""#text"":""1""},{""@Name"":""ApplicationPath""},{""@Name"":""ServiceName""},{""@Name"":""Direction"",""#text"":""1""},{""@Name"":""Protocol"",""#text"":""256""},{""@Name"":""LocalPorts""},{""@Name"":""RemotePorts""},{""@Name"":""Action"",""#text"":""2""},{""@Name"":""Profiles"",""#text"":""2147483647""},{""@Name"":""LocalAddresses"",""#text"":""*""},{""@Name"":""RemoteAddresses"",""#text"":""*""},{""@Name"":""RemoteMachineAuthorizationList""},{""@Name"":""RemoteUserAuthorizationList""},{""@Name"":""EmbeddedContext"",""#text"":""@{Microsoft.MicrosoftEdgeDevToolsClient_1000.19041.1023.0_neutral_neutral_8wekyb3d8bbwe?ms-resource://Microsoft.MicrosoftEdgeDevToolsClient/resources/DisplayName}""},{""@Name"":""Flags"",""#text"":""1""},{""@Name"":""Active"",""#text"":""1""},{""@Name"":""EdgeTraversal"",""#text"":""0""},{""@Name"":""LooseSourceMapped"",""#text"":""0""},{""@Name"":""SecurityOptions"",""#text"":""0""},{""@Name"":""ModifyingUser"",""#text"":""S-1-5-80-3088073201-1464728630-1879813800-1107566885-823218052""},{""@Name"":""ModifyingApplication"",""#text"":""C:\\Windows\\System32\\svchost.exe""},{""@Name"":""SchemaVersion"",""#text"":""542""},{""@Name"":""RuleStatus"",""#text"":""65536""},{""@Name"":""LocalOnlyMapped"",""#text"":""0""}]}}"
